"mident","mois","actif","actifp","actifs","agea"
1100987001,15,1,1,0,41.916668
1100987001,16,1,1,0,42
1100987001,17,1,1,0,42.083332
1100987001,18,1,1,0,42.166668
1100987001,19,1,1,0,42.25
1100987001,20,1,1,0,42.333332
1100987001,21,1,1,0,42.416668
1100987001,22,1,1,0,42.5
1100987001,23,1,1,0,42.583332
1100987001,24,1,1,0,42.666668
1101124001,13,0,0,0,56.083332
1101124001,14,0,0,0,56.166668
1101124001,15,0,0,0,56.25
1101124001,16,0,0,0,56.333332
1101124001,17,0,0,0,56.416668
1101124001,18,0,0,0,56.5
1101124001,19,0,0,0,56.583332
1101124001,20,0,0,0,56.666668
1101124001,21,0,0,0,56.75
1101124001,22,0,0,0,56.833332
1101124001,23,0,0,0,56.916668
1101124001,24,0,0,0,57
1101133001,13,1,1,0,45.5
1101133001,14,1,1,0,45.583332
1101133001,15,1,1,0,45.666668
1101133001,16,1,1,0,45.75
1101133001,17,1,1,0,45.833332
1101133001,18,1,1,0,45.916668
1101133001,19,1,1,0,46
1101133001,20,1,1,0,46.083332
1101133001,21,1,1,0,46.166668
1101133001,22,1,1,0,46.25
1101133001,23,1,1,0,46.333332
1101133001,24,1,1,0,46.416668
1101140001,13,1,1,1,24
1101140001,14,1,1,1,24.083334
1101140001,15,1,1,1,24.166666
1101140001,16,1,1,1,24.25
1101140001,17,1,1,1,24.333334
1101140001,18,1,1,1,24.416666
1101140001,19,1,1,1,24.5
1101140001,20,1,1,1,24.583334
1101140001,21,1,1,1,24.666666
1101140001,22,1,1,1,24.75
1101140001,23,1,1,1,24.833334
1101140001,24,1,1,1,24.916666
1101195001,13,0,0,0,33.75
1101195001,14,0,0,0,33.833332
1101195001,15,0,0,0,33.916668
1101195001,16,1,0,1,34
1101195001,17,1,0,1,34.083332
1101195001,18,1,0,1,34.166668
1101195001,19,0,0,0,34.25
1101195001,20,0,0,0,34.333332
1101195001,21,0,0,0,34.416668
1101195001,22,0,0,0,34.5
1101195001,23,0,0,0,34.583332
1101195001,24,0,0,0,34.666668
1101207001,13,1,1,0,30.166666
1101207001,14,1,1,0,30.25
1101207001,15,1,1,0,30.333334
1101207001,16,1,1,0,30.416666
1101207001,17,1,1,0,30.5
1101207001,18,1,1,0,30.583334
1101207001,19,1,1,0,30.666666
1101207001,20,1,1,0,30.75
1101207001,21,1,1,0,30.833334
1101207001,22,1,1,0,30.916666
1101207001,23,1,1,0,31
1101207001,24,1,1,0,31.083334
1101234001,13,1,1,0,25.416666
1101234001,14,1,1,0,25.5
1101234001,15,1,1,0,25.583334
1101234001,16,1,1,0,25.666666
1101234001,17,1,1,0,25.75
1101234001,18,1,1,0,25.833334
1101234001,19,1,1,0,25.916666
1101234001,20,1,1,0,26
1101234001,21,1,1,0,26.083334
1101234001,22,1,1,0,26.166666
1101234001,23,1,1,0,26.25
1101234001,24,1,1,0,26.333334
1101322001,13,1,1,0,30.75
1101322001,14,1,1,0,30.833334
1101322001,15,1,1,0,30.916666
1101322001,16,1,1,0,31
1101322001,17,1,1,0,31.083334
1101322001,18,1,1,0,31.166666
1101322001,19,1,1,0,31.25
1101322001,20,1,1,0,31.333334
1101322001,21,1,1,0,31.416666
1101322001,22,1,1,0,31.5
1101322001,23,1,1,0,31.583334
1101322001,24,1,1,0,31.666666
1101449001,13,1,1,0,30.583334
1101449001,14,1,1,0,30.666666
1101449001,15,1,1,0,30.75
1101449001,16,1,1,0,30.833334
1101449001,17,1,1,0,30.916666
1101449001,18,1,1,0,31
1101449001,19,1,1,0,31.083334
1101449001,20,1,1,0,31.166666
1101449001,21,1,1,0,31.25
1101449001,22,1,1,0,31.333334
1101449001,23,1,1,0,31.416666
1101449001,24,1,1,0,31.5
1101674001,13,1,1,0,37.75
1101674001,14,1,1,0,37.833332
1101674001,15,1,1,0,37.916668
1101674001,16,1,1,0,38
1101674001,17,1,1,0,38.083332
1101674001,18,1,1,0,38.166668
1101674001,19,1,1,0,38.25
1101674001,20,1,1,0,38.333332
1101674001,21,1,1,0,38.416668
1101674001,22,1,1,0,38.5
1101674001,23,1,1,0,38.583332
1101674001,24,1,1,0,38.666668
1101702001,13,1,1,0,49.833332
1101702001,14,1,1,0,49.916668
1101702001,15,1,1,0,50
1101702001,16,1,1,0,50.083332
1101702001,17,1,1,0,50.166668
1101702001,18,1,1,0,50.25
1101702001,19,1,1,0,50.333332
1101702001,20,1,1,0,50.416668
1101702001,21,1,1,0,50.5
1101702001,22,1,1,0,50.583332
1101702001,23,1,1,0,50.666668
1101702001,24,1,1,0,50.75
1101720001,13,1,1,0,45.583332
1101720001,14,1,1,0,45.666668
1101720001,15,1,1,0,45.75
1101720001,16,1,1,0,45.833332
1101720001,17,1,1,0,45.916668
1101720001,18,1,1,0,46
1101720001,19,1,1,0,46.083332
1101720001,20,1,1,0,46.166668
1101720001,21,1,1,0,46.25
1101720001,22,1,1,0,46.333332
1101720001,23,1,1,0,46.416668
1101720001,24,1,1,0,46.5
1101757001,13,0,0,0,46.083332
1101757001,14,0,0,0,46.166668
